[{'rouge-1': {'r': 0.65625, 'p': 0.7394366197183099, 'f': 0.6953642334283584}, 'rouge-2': {'r': 0.5737704918032787, 'p': 0.6542056074766355, 'f': 0.6113537068118459}, 'rouge-l': {'r': 0.65, 'p': 0.7323943661971831, 'f': 0.6887417168720671}}]
[{'rouge-1': {'r': 0.37209302325581395, 'p': 0.5203252032520326, 'f': 0.4338983002226947}, 'rouge-2': {'r': 0.26778242677824265, 'p': 0.3764705882352941, 'f': 0.31295843035012944}, 'rouge-l': {'r': 0.36046511627906974, 'p': 0.5040650406504065, 'f': 0.42033897818879634}}]
[{'rouge-1': {'r': 0.6742424242424242, 'p': 0.8240740740740741, 'f': 0.7416666617166667}, 'rouge-2': {'r': 0.5901639344262295, 'p': 0.7397260273972602, 'f': 0.6565349494705334}, 'rouge-l': {'r': 0.6742424242424242, 'p': 0.8240740740740741, 'f': 0.7416666617166667}}]
[{'rouge-1': {'r': 0.5939849624060151, 'p': 0.6475409836065574, 'f': 0.6196078381465591}, 'rouge-2': {'r': 0.4756756756756757, 'p': 0.4971751412429379, 'f': 0.48618784030630935}, 'rouge-l': {'r': 0.5864661654135338, 'p': 0.639344262295082, 'f': 0.6117647008916571}}]
[{'rouge-1': {'r': 0.5980861244019139, 'p': 0.6218905472636815, 'f': 0.6097560925628792}, 'rouge-2': {'r': 0.43853820598006643, 'p': 0.44594594594594594, 'f': 0.44221105027673263}, 'rouge-l': {'r': 0.5980861244019139, 'p': 0.6218905472636815, 'f': 0.6097560925628792}}]
[{'rouge-1': {'r': 0.6015625, 'p': 0.7549019607843137, 'f': 0.6695652124551985}, 'rouge-2': {'r': 0.4906832298136646, 'p': 0.6638655462184874, 'f': 0.5642857093982143}, 'rouge-l': {'r': 0.59375, 'p': 0.7450980392156863, 'f': 0.6608695602812855}}]
[{'rouge-1': {'r': 0.35344827586206895, 'p': 0.5616438356164384, 'f': 0.43386242912124523}, 'rouge-2': {'r': 0.24633431085043989, 'p': 0.38009049773755654, 'f': 0.2989323795695977}, 'rouge-l': {'r': 0.34913793103448276, 'p': 0.5547945205479452, 'f': 0.42857142383023994}}]
[{'rouge-1': {'r': 0.44680851063829785, 'p': 0.4666666666666667, 'f': 0.4565217341327978}, 'rouge-2': {'r': 0.371900826446281, 'p': 0.4017857142857143, 'f': 0.38626608942806095}, 'rouge-l': {'r': 0.44680851063829785, 'p': 0.4666666666666667, 'f': 0.4565217341327978}}]
[{'rouge-1': {'r': 0.496551724137931, 'p': 0.5179856115107914, 'f': 0.5070422485233586}, 'rouge-2': {'r': 0.32432432432432434, 'p': 0.36180904522613067, 'f': 0.3420427503593413}, 'rouge-l': {'r': 0.4896551724137931, 'p': 0.5107913669064749, 'f': 0.4999999950022318}}]
[{'rouge-1': {'r': 0.6756756756756757, 'p': 0.7142857142857143, 'f': 0.6944444394483026}, 'rouge-2': {'r': 0.5925925925925926, 'p': 0.6632124352331606, 'f': 0.6259168654314596}, 'rouge-l': {'r': 0.6756756756756757, 'p': 0.7142857142857143, 'f': 0.6944444394483026}}]
[{'rouge-1': {'r': 0.4336734693877551, 'p': 0.4722222222222222, 'f': 0.45212765458352194}, 'rouge-2': {'r': 0.22653721682847897, 'p': 0.2641509433962264, 'f': 0.24390243405377032}, 'rouge-l': {'r': 0.42346938775510207, 'p': 0.46111111111111114, 'f': 0.4414893567111816}}]
