[{'rouge-1': {'r': 0.3473684210526316, 'p': 0.4583333333333333, 'f': 0.39520957593316364}, 'rouge-2': {'r': 0.1984732824427481, 'p': 0.26804123711340205, 'f': 0.22807017054978465}, 'rouge-l': {'r': 0.3368421052631579, 'p': 0.4444444444444444, 'f': 0.38323352802897204}}]
[{'rouge-1': {'r': 0.3333333333333333, 'p': 0.4819277108433735, 'f': 0.3940886651168435}, 'rouge-2': {'r': 0.2147239263803681, 'p': 0.30701754385964913, 'f': 0.2527075763838966}, 'rouge-l': {'r': 0.325, 'p': 0.46987951807228917, 'f': 0.384236448368075}}]
[{'rouge-1': {'r': 0.6829268292682927, 'p': 0.7943262411347518, 'f': 0.7344262245366302}, 'rouge-2': {'r': 0.5665236051502146, 'p': 0.676923076923077, 'f': 0.616822424945956}, 'rouge-l': {'r': 0.6829268292682927, 'p': 0.7943262411347518, 'f': 0.7344262245366302}}]
[{'rouge-1': {'r': 0.3815789473684211, 'p': 0.48333333333333334, 'f': 0.42647058330449833}, 'rouge-2': {'r': 0.24675324675324675, 'p': 0.3064516129032258, 'f': 0.2733812900222556}, 'rouge-l': {'r': 0.3815789473684211, 'p': 0.48333333333333334, 'f': 0.42647058330449833}}]
[{'rouge-1': {'r': 0.21428571428571427, 'p': 0.2222222222222222, 'f': 0.21818181318347118}, 'rouge-2': {'r': 0.07352941176470588, 'p': 0.08333333333333333, 'f': 0.07812499501953157}, 'rouge-l': {'r': 0.21428571428571427, 'p': 0.2222222222222222, 'f': 0.21818181318347118}}]
[{'rouge-1': {'r': 0.6590909090909091, 'p': 0.7682119205298014, 'f': 0.7094801173533841}, 'rouge-2': {'r': 0.5576923076923077, 'p': 0.6651376146788991, 'f': 0.6066945557080584}, 'rouge-l': {'r': 0.6534090909090909, 'p': 0.7615894039735099, 'f': 0.7033639094023137}}]
[{'rouge-1': {'r': 0.4935897435897436, 'p': 0.5539568345323741, 'f': 0.5220338933216893}, 'rouge-2': {'r': 0.3394495412844037, 'p': 0.39572192513368987, 'f': 0.3654320937947265}, 'rouge-l': {'r': 0.47435897435897434, 'p': 0.5323741007194245, 'f': 0.5016949102708419}}]
[{'rouge-1': {'r': 0.4439461883408072, 'p': 0.5689655172413793, 'f': 0.49874054923234085}, 'rouge-2': {'r': 0.3392330383480826, 'p': 0.4372623574144487, 'f': 0.38205979574414195}, 'rouge-l': {'r': 0.4304932735426009, 'p': 0.5517241379310345, 'f': 0.48362719910639623}}]
[{'rouge-1': {'r': 0.4188034188034188, 'p': 0.47572815533980584, 'f': 0.4454545404747934}, 'rouge-2': {'r': 0.2721518987341772, 'p': 0.3115942028985507, 'f': 0.2905405355633675}, 'rouge-l': {'r': 0.4017094017094017, 'p': 0.4563106796116505, 'f': 0.42727272229297525}}]
[{'rouge-1': {'r': 0.5, 'p': 0.7096774193548387, 'f': 0.586666661816889}, 'rouge-2': {'r': 0.40350877192982454, 'p': 0.5348837209302325, 'f': 0.45999999509799994}, 'rouge-l': {'r': 0.4659090909090909, 'p': 0.6612903225806451, 'f': 0.5466666618168888}}]
[{'rouge-1': {'r': 0.6284403669724771, 'p': 0.7098445595854922, 'f': 0.6666666616851665}, 'rouge-2': {'r': 0.5077881619937694, 'p': 0.5884476534296029, 'f': 0.5451504966993098}, 'rouge-l': {'r': 0.6284403669724771, 'p': 0.7098445595854922, 'f': 0.6666666616851665}}]
